,Unnamed: 0,longitude,latitude,elevation,landcover,surface_pressure,ghi,air_temperature,dew_point,surface_albedo,cloud_type,wind_speed,relative_humidity,dni,solar_zenith_angle,total_precipitable_water,dhi,clearsky_dhi,clearsky_ghi,clearsky_dni,aod,cloud_press_acha,dbscan_cluster,kmeans_cluster,cld_opd_dcomp,cld_reff_dcomp,wind_direction,ozone,ssa
191,366508,-162.54,55.33,22.25,120,1008.6111111111112,91.55555555555556,5.572222222222222,3.238888888888889,0.21,6.444444444444445,5.955555555555557,85.24222222222222,50.22222222222222,90.1588888888889,1.6055555555555556,57.55555555555556,40.27777777777778,184.11111111111111,310.22222222222223,0.0956611111111111,255.05555555555557,-1,3,8.601666666666667,7.228333333333334,183.33333333333334,0.35733333333333334,0.9683333333333333
192,374170,-131.98,55.69,353.24,70,981.0555555555557,100.27777777777776,4.961111111111111,3.4055555555555563,0.2194444444444444,5.333333333333333,1.15,90.19888888888887,95.38888888888889,90.15999999999998,1.4444444444444444,57.05555555555556,28.166666666666668,173.05555555555554,309.55555555555554,0.0568222222222222,233.61111111111111,-1,3,9.785,10.72777777777778,174.88888888888889,0.34444444444444444,0.9500000000000001
193,381833,-160.42,56.05,61.16,120,1008.8333333333334,90.94444444444444,5.116666666666666,2.838888888888889,0.2677777777777777,5.944444444444445,5.972222222222221,85.42277777777778,70.05555555555556,90.16222222222224,1.5166666666666666,53.333333333333336,36.888888888888886,183.83333333333331,327.22222222222223,0.0775111111111111,271.5,-1,3,10.31111111111111,6.767777777777777,183.66666666666666,0.3572777777777778,0.9616666666666666
194,388811,-158.7,56.37,330.5,220,976.6111111111112,74.55555555555556,2.688888888888889,1.6055555555555556,0.3277777777777778,6.111111111111111,4.966666666666667,92.88833333333336,72.05555555555556,90.165,1.35,52.94444444444444,34.05555555555556,186.27777777777777,349.27777777777777,0.0613222222222222,275.3333333333333,-1,3,10.370555555555557,6.435555555555556,194.94444444444446,0.35538888888888887,0.9594444444444444
195,397067,-133.5,56.73,320.0625,100,979.3333333333334,96.27777777777776,4.883333333333333,3.1333333333333337,0.2711111111111111,4.944444444444445,2.116666666666667,88.81277777777777,82.88888888888889,90.12666666666668,1.4444444444444444,65.27777777777777,28.55555555555556,168.77777777777777,305.05555555555554,0.0590333333333333,188.38888888888889,-1,3,7.3327777777777765,5.675000000000001,151.66666666666666,0.3413888888888889,0.9500000000000001
196,405214,-153.3,57.09,142.27777,130,1004.7777777777778,61.5,6.188888888888889,4.033333333333334,0.22,5.833333333333333,5.027777777777778,86.24944444444445,19.166666666666668,90.17055555555557,1.4055555555555554,48.16666666666666,33.22222222222222,177.88888888888889,329.05555555555554,0.0662833333333333,320.44444444444446,-1,3,19.218333333333334,5.901666666666667,179.38888888888889,0.35922222222222217,0.9594444444444444
197,411749,-153.7,57.37,679.6,140,947.3888888888888,97.55555555555556,2.1111111111111107,1.4722222222222223,0.2772222222222222,6.111111111111111,3.611111111111111,95.72277777777778,82.05555555555556,90.17111111111112,1.1388888888888888,67.77777777777777,31.0,181.55555555555557,350.0,0.0519499999999999,238.88888888888889,-1,3,5.424444444444444,5.745555555555555,171.16666666666666,0.35850000000000004,0.9572222222222222
198,417523,-132.98,57.61,812.8,220,934.2777777777778,64.0,1.5722222222222222,-1.2166666666666666,0.3733333333333333,4.555555555555555,1.5722222222222222,82.38277777777778,89.88888888888889,90.12666666666668,1.1833333333333331,39.0,28.27777777777778,169.72222222222223,315.6666666666667,0.0509777777777777,161.11111111111111,-1,3,10.034444444444444,8.402222222222223,132.27777777777777,0.33866666666666667,0.9411111111111112
199,424044,-135.86,57.89,454.96,100,975.0,50.66666666666666,4.411111111111111,2.411111111111111,0.3316666666666666,5.277777777777778,2.8999999999999995,87.3627777777778,33.111111111111114,90.13444444444444,1.4,47.11111111111112,31.61111111111111,166.11111111111111,302.0,0.0617444444444444,162.5,-1,3,11.443333333333335,6.6499999999999995,173.72222222222223,0.3421666666666667,0.9483333333333334
200,430555,-156.26,58.17,113.56,110,994.6111111111112,124.77777777777776,2.1944444444444446,-0.3611111111111114,0.2322222222222222,6.111111111111111,3.983333333333333,84.02,146.11111111111111,90.16722222222222,1.2111111111111112,56.833333333333336,32.05555555555556,176.88888888888889,345.55555555555554,0.0594444444444444,197.55555555555557,-1,3,3.003888888888889,5.1627777777777775,142.16666666666666,0.3570555555555555,0.9550000000000001
201,436651,-136.66,58.41,268.36,220,1013.2777777777778,56.22222222222222,6.1,1.877777777777777,0.6466666666666665,5.944444444444445,3.0444444444444447,74.63111111111112,24.166666666666668,90.13111111111112,1.6055555555555554,49.833333333333336,34.05555555555556,165.05555555555554,294.05555555555554,0.0665277777777777,173.05555555555554,-1,3,13.953333333333333,6.042222222222223,171.94444444444446,0.3422222222222222,0.9472222222222223
202,442868,-160.26,58.65,33.76923,210,1014.2777777777778,134.55555555555554,3.927777777777778,1.6722222222222218,0.1283333333333333,4.555555555555555,6.716666666666666,85.9238888888889,183.83333333333331,90.16388888888888,1.2666666666666666,49.333333333333336,33.27777777777778,173.77777777777777,332.8888888888889,0.0735388888888888,175.0,-1,3,2.5,4.666666666666667,160.11111111111111,0.36033333333333334,0.9544444444444444
203,447414,-137.5,58.81,2106.2,220,825.8888888888889,47.44444444444444,-5.883333333333333,-5.894444444444445,0.4933333333333334,6.166666666666667,2.7500000000000004,99.93944444444443,36.0,90.14166666666668,0.7944444444444445,40.11111111111112,25.166666666666668,174.44444444444446,351.0,0.0309222222222222,175.72222222222223,-1,3,21.288333333333338,7.589444444444445,169.83333333333334,0.3408888888888889,0.9427777777777777
204,451656,-155.14,58.97,203.2,210,1008.7777777777778,93.33333333333331,2.4111111111111114,-1.1555555555555554,0.2272222222222222,5.333333333333333,2.9722222222222223,77.99333333333334,92.44444444444444,90.16666666666669,1.2333333333333334,59.77777777777778,32.833333333333336,171.0,328.44444444444446,0.0644388888888888,257.1111111111111,-1,3,16.658333333333335,7.297222222222222,160.5,0.3582777777777778,0.9522222222222223
